Author,Book Title
Agatha Christie,Murder on the Orient Express
Agatha Christie,And Then There Were None
Agatha Christie,The Murder of Roger Ackroyd
Agatha Christie,Death on the Nile
Agatha Christie,The ABC Murders
J.K. Rowling,Harry Potter and the Sorcerer's Stone
J.K. Rowling,Harry Potter and the Chamber of Secrets
J.K. Rowling,Harry Potter and the Prisoner of Azkaban
J.K. Rowling,Harry Potter and the Goblet of Fire
J.K. Rowling,Harry Potter and the Order of the Phoenix
George Orwell,1984
George Orwell,Animal Farm
George Orwell,Homage to Catalonia
George Orwell,Down and Out in Paris and London
George Orwell,The Road to Wigan Pier
Haruki Murakami,Norwegian Wood
Haruki Murakami,Kafka on the Shore
Haruki Murakami,1Q84
Haruki Murakami,The Wind-Up Bird Chronicle
Haruki Murakami,Colorless Tsukuru Tazaki and His Years of Pilgrimage
Jane Austen,Pride and Prejudice
Jane Austen,Sense and Sensibility
Jane Austen,Emma
Jane Austen,Persuasion
Jane Austen,Northanger Abbey
Neil Gaiman,American Gods
Neil Gaiman,Coraline
Neil Gaiman,The Graveyard Book
Neil Gaiman,Neverwhere
Neil Gaiman,Good Omens
Stephen King,The Shining
Stephen King,It
Stephen King,Carrie
Stephen King,Misery
Stephen King,The Stand
Dan Brown,The Da Vinci Code
Dan Brown,Angels & Demons
Dan Brown,Inferno
Dan Brown,The Lost Symbol
Dan Brown,Origin
Colleen Hoover,It Ends with Us
Colleen Hoover,Verity
Colleen Hoover,Ugly Love
Colleen Hoover,Reminders of Him
Colleen Hoover,November 9
